"","Curso","Turno","Ensino médio","Opinião","Renda","Nota ENEM","IAA"
"646","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.03,457,3.971
"647","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",4.38,844,6.736
"648","Química","Diurno","Somente em pública","Satisfeito",1.24,583,5.261
"649","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",2.55,536,4.468
"650","Química","Integral","Somente em pública","Indiferente",2.08,628,5.452
"651","Mecânica","Integral","Maior parte em particular","Muito insatisfeito",3.66,739,6.203
"652","Civil","Diurno","Somente em pública","Indiferente",1.94,445,4.624
"653","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,209,2.707
"654","Mecânica","Diurno","Somente em pública","Insatisfeito",1.43,421,3.863
"655","Produção","Integral","Maior parte em particular","Indiferente",1.84,835,6.75
"656","Produção","Integral","Somente em pública","Indiferente",1.47,556,4.977
"657","Produção","Diurno","Somente em pública","Satisfeito",1.39,323,3.47
"658","Química","Noturno","Somente em particular","Muito satisfeito",1.1,290,3.301
"659","Computação","Noturno","Somente em pública","Muito satisfeito",1.06,316,3.348
"660","Computação","Noturno","Somente em pública","Satisfeito",1.28,473,4.315
"661","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.12,406,4.122
"662","Computação","Noturno","Somente em pública","Muito satisfeito",1.26,410,4.497
"663","Computação","Noturno","Somente em particular","Muito satisfeito",1.01,409,4.131
"664","Química","Diurno","Maior parte em particular","Satisfeito",1.39,371,3.818
"665","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.07,422,4.06
"666","Mecânica","Diurno","Somente em pública","Satisfeito",1.28,551,4.551
"667","Química","Diurno","Somente em particular","Muito satisfeito",1.68,524,4.547
"668","Química","Integral","Maior parte em particular","Muito insatisfeito",5.16,641,5.544
"669","Mecânica","Integral","Maior parte em particular","Indiferente",1.11,617,5.13
"670","Química","Diurno","Somente em pública","Satisfeito",1.02,538,4.545
"671","Produção","Noturno","Somente em pública","Muito satisfeito",1.04,451,4.383
"672","Química","Diurno","Somente em pública","Satisfeito",1.68,479,4.152
"673","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,443,4.598
"674","Química","Noturno","Somente em pública","Satisfeito",1.1,263,2.827
"675","Química","Integral","Somente em pública","Satisfeito",1.5,494,4.337
"676","Produção","Integral","Somente em pública","Insatisfeito",4.02,634,5.053
"677","Computação","Noturno","Somente em particular","Muito satisfeito",1,334,3.16
"678","Computação","Diurno","Maior parte em particular","Satisfeito",1.18,535,4.583
"679","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.13,476,4.421
"680","Computação","Noturno","Somente em particular","Muito satisfeito",1.2,430,4.748
"681","Mecânica","Integral","Somente em pública","Satisfeito",1.52,580,5.509
"682","Produção","Integral","Maior parte em pública","Insatisfeito",2.13,589,5.383
"683","Química","Noturno","Somente em pública","Muito satisfeito",1.09,314,3.606
"684","Civil","Noturno","Somente em particular","Muito satisfeito",1.01,458,4.616
"685","Mecânica","Diurno","Maior parte em particular","Indiferente",1.45,275,2.353
"686","Computação","Diurno","Somente em pública","Muito satisfeito",1.36,442,4.201
"687","Química","Integral","Maior parte em particular","Insatisfeito",3.37,767,6.483
"688","Civil","Noturno","Somente em pública","Muito satisfeito",1.09,490,4.689
"689","Química","Noturno","Somente em particular","Muito satisfeito",1.35,419,3.954
"690","Computação","Noturno","Somente em pública","Muito satisfeito",1.02,437,3.842
"691","Mecânica","Integral","Maior parte em pública","Insatisfeito",2.79,628,5.321
"692","Química","Noturno","Somente em pública","Satisfeito",1.41,647,5.545
"693","Química","Diurno","Somente em pública","Muito satisfeito",1.01,373,3.689
"694","Química","Integral","Maior parte em particular","Indiferente",1.9,337,3.371
"695","Química","Integral","Maior parte em particular","Insatisfeito",2.39,566,5.192
"696","Mecânica","Integral","Somente em pública","Indiferente",2.32,694,6.015
"697","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",4.62,763,5.785
"698","Elétrica","Noturno","Somente em pública","Satisfeito",1.05,463,4.504
"699","Química","Noturno","Somente em pública","Satisfeito",1.3,547,4.948
"700","Química","Integral","Maior parte em particular","Insatisfeito",1.45,544,5.151
"701","Elétrica","Integral","Maior parte em pública","Indiferente",2.5,475,4.391
"702","Computação","Diurno","Somente em pública","Indiferente",1.54,581,5.319
"703","Produção","Diurno","Somente em pública","Indiferente",3.44,776,6.564
"704","Computação","Noturno","Somente em pública","Muito satisfeito",1.33,265,3.372
"705","Computação","Noturno","Somente em particular","Muito satisfeito",1,167,2.895
"706","Química","Noturno","Somente em pública","Muito satisfeito",1.24,299,3.109
"707","Química","Integral","Maior parte em pública","Indiferente",1.77,598,5.363
"708","Computação","Diurno","Somente em pública","Satisfeito",1.35,596,4.939
"709","Computação","Noturno","Somente em pública","Satisfeito",1.18,487,4.282
"710","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.01,457,4.429
"711","Produção","Integral","Maior parte em particular","Insatisfeito",3.54,473,4.3
"712","Produção","Diurno","Somente em pública","Insatisfeito",3.66,470,4.23
"713","Produção","Integral","Maior parte em particular","Indiferente",1.46,589,4.866
"714","Mecânica","Diurno","Somente em pública","Insatisfeito",3.79,671,5.896
"715","Química","Noturno","Somente em pública","Satisfeito",1.61,397,3.733
"716","Química","Integral","Maior parte em pública","Muito insatisfeito",1.9,466,4.408
"717","Química","Diurno","Somente em pública","Satisfeito",1.11,511,4.899
"718","Química","Diurno","Maior parte em particular","Satisfeito",1.11,473,4.059
"719","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.03,326,3.697
"720","Química","Integral","Somente em pública","Insatisfeito",2.54,601,5.144
"721","Computação","Noturno","Somente em pública","Muito satisfeito",1.13,301,3.215
"722","Química","Integral","Maior parte em particular","Insatisfeito",1.77,580,5.327
"723","Mecânica","Integral","Maior parte em pública","Insatisfeito",2.98,652,5.156
"724","Computação","Noturno","Somente em particular","Muito satisfeito",1.02,320,3.11
"725","Mecânica","Integral","Maior parte em particular","Indiferente",1.05,560,4.919
"726","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",5,920,7.48
"727","Computação","Diurno","Maior parte em particular","Satisfeito",1.36,479,4.254
"728","Química","Diurno","Maior parte em pública","Indiferente",1.3,422,3.988
"729","Produção","Integral","Maior parte em pública","Insatisfeito",2.66,539,4.7
"730","Química","Noturno","Somente em pública","Muito satisfeito",1.01,352,3.859
"731","Computação","Noturno","Somente em pública","Muito satisfeito",1.01,308,3.559
"732","Produção","Diurno","Somente em pública","Indiferente",1.95,413,3.937
"733","Produção","Integral","Somente em pública","Insatisfeito",2.86,508,4.781
"734","Produção","Diurno","Somente em pública","Muito satisfeito",1.09,331,3.777
"735","Química","Integral","Maior parte em pública","Muito insatisfeito",3.66,596,5.32
"736","Produção","Diurno","Somente em pública","Satisfeito",1.24,446,4.463
"737","Computação","Noturno","Somente em pública","Muito satisfeito",1.01,211,2.426
"738","Civil","Diurno","Somente em pública","Satisfeito",2.23,463,4.394
"739","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.17,215,2.99
"740","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.02,457,4.575
"741","Civil","Diurno","Somente em pública","Muito satisfeito",1.08,580,5.037
"742","Produção","Noturno","Somente em pública","Satisfeito",1.18,268,3.29
"743","Mecânica","Diurno","Somente em pública","Satisfeito",2.26,574,5.05
"744","Química","Diurno","Somente em pública","Satisfeito",2.37,464,4.701
"745","Produção","Noturno","Somente em particular","Muito satisfeito",1.6,694,6.155
"746","Química","Integral","Maior parte em particular","Indiferente",1.68,428,4.311
"747","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.02,248,2.562
"748","Química","Noturno","Somente em pública","Satisfeito",1.51,502,4.459
"749","Química","Noturno","Somente em particular","Muito satisfeito",1.09,419,4.353
"750","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,128,1.864
"751","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",3.22,677,5.416
"752","Produção","Noturno","Somente em pública","Muito satisfeito",1.16,653,5.589
"753","Civil","Noturno","Somente em pública","Muito satisfeito",1.03,320,3.319
"754","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",4.16,649,5.79
"755","Mecânica","Diurno","Somente em pública","Indiferente",1.18,572,5.025
"756","Química","Diurno","Somente em pública","Muito satisfeito",1.31,445,4.152
"757","Química","Diurno","Maior parte em particular","Indiferente",1.16,365,3.978
"758","Computação","Noturno","Somente em pública","Muito satisfeito",1.05,488,4.437
"759","Química","Noturno","Somente em particular","Muito satisfeito",1.03,431,4.173
"760","Química","Diurno","Somente em pública","Satisfeito",1.49,469,4.317
"761","Mecânica","Diurno","Somente em pública","Muito satisfeito",1.32,467,4.308
"762","Civil","Diurno","Somente em pública","Satisfeito",1.58,358,3.806
"763","Química","Integral","Maior parte em pública","Insatisfeito",2.13,602,5.19
"764","Computação","Noturno","Somente em particular","Muito satisfeito",1.01,325,3.778
"765","Química","Noturno","Somente em pública","Muito satisfeito",1,193,2.531
"766","Química","Noturno","Somente em pública","Satisfeito",1.17,418,4.142
"767","Civil","Noturno","Somente em pública","Muito satisfeito",1.05,548,4.337
"768","Mecânica","Integral","Maior parte em particular","Muito insatisfeito",4.38,706,6.2
"769","Química","Diurno","Somente em pública","Satisfeito",1.54,367,3.791
"770","Química","Diurno","Somente em pública","Indiferente",1.67,535,4.983
"771","Produção","Integral","Maior parte em pública","Insatisfeito",2.69,652,6.208
"772","Química","Diurno","Somente em pública","Indiferente",1.59,443,4.126
"773","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",3.84,751,6.236
"774","Mecânica","Integral","Somente em pública","Indiferente",1.34,710,5.756
"775","Química","Noturno","Somente em pública","Muito satisfeito",1.01,349,3.352
"776","Produção","Integral","Maior parte em particular","Insatisfeito",1.87,581,5.076
"777","Mecânica","Integral","Maior parte em particular","Muito insatisfeito",2.11,628,5.508
"778","Química","Noturno","Somente em pública","Muito satisfeito",1.02,325,3.897
"779","Computação","Diurno","Somente em pública","Satisfeito",1.37,544,5.31
"780","Civil","Noturno","Somente em particular","Muito satisfeito",1.02,319,3.526
"781","Mecânica","Noturno","Somente em pública","Muito satisfeito",1.03,427,4.38
"782","Química","Diurno","Somente em pública","Muito satisfeito",1.22,418,4.355
"783","Mecânica","Integral","Maior parte em particular","Insatisfeito",1.38,635,5.643
"784","Mecânica","Integral","Maior parte em pública","Insatisfeito",1.74,566,5.592
"785","Computação","Noturno","Somente em pública","Satisfeito",1.23,523,5.115
"786","Produção","Noturno","Somente em pública","Muito satisfeito",1.12,332,3.332
"787","Produção","Integral","Maior parte em pública","Indiferente",1.38,617,5.264
"788","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.06,298,3.191
"789","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",7.14,937,7.404
"790","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",5.03,859,6.954
"791","Química","Noturno","Somente em pública","Satisfeito",1.32,536,5.103
"792","Química","Diurno","Maior parte em particular","Indiferente",2.52,461,4.328
"793","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.02,224,2.957
"794","Computação","Noturno","Somente em particular","Muito satisfeito",1,280,3.185
"795","Química","Integral","Maior parte em particular","Insatisfeito",2.45,781,6.856
"796","Química","Integral","Maior parte em particular","Indiferente",1.77,614,5.486
"797","Elétrica","Noturno","Somente em pública","Satisfeito",1.22,544,4.804
"798","Computação","Diurno","Somente em pública","Satisfeito",1.31,415,4.078
"799","Civil","Diurno","Somente em pública","Satisfeito",1.45,382,3.872
"800","Computação","Diurno","Somente em particular","Satisfeito",3.03,656,5.777
"801","Produção","Diurno","Somente em pública","Satisfeito",1.09,377,3.833
"802","Produção","Integral","Maior parte em pública","Muito insatisfeito",1.43,799,6.439
"803","Civil","Diurno","Somente em pública","Satisfeito",1.13,491,4.897
"804","Civil","Noturno","Somente em pública","Muito satisfeito",1.35,454,4.566
"805","Computação","Noturno","Somente em pública","Muito satisfeito",1.03,353,4.053
"806","Produção","Diurno","Somente em pública","Satisfeito",1.32,286,3.615
"807","Química","Noturno","Somente em pública","Muito satisfeito",1.1,437,4.248
"808","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.05,425,4.203
"809","Mecânica","Diurno","Somente em pública","Insatisfeito",8.44,728,6.176
"810","Civil","Diurno","Somente em pública","Satisfeito",1.06,449,4.347
"811","Química","Integral","Somente em pública","Satisfeito",3.89,701,6.09
"812","Civil","Diurno","Somente em pública","Satisfeito",2.09,658,5.547
"813","Produção","Integral","Maior parte em pública","Muito insatisfeito",3.37,755,6.557
"814","Química","Diurno","Somente em pública","Indiferente",1.08,533,4.557
"815","Mecânica","Integral","Somente em pública","Insatisfeito",2.6,542,4.948
"816","Química","Noturno","Somente em pública","Satisfeito",1.09,365,3.73
"817","Produção","Integral","Maior parte em pública","Insatisfeito",1.61,509,5.115
"818","Produção","Integral","Maior parte em particular","Insatisfeito",4.21,598,4.736
"819","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",2.12,727,5.789
"820","Mecânica","Integral","Maior parte em particular","Muito insatisfeito",3.64,599,5.231
"821","Mecânica","Integral","Maior parte em particular","Indiferente",2.35,515,4.533
"822","Produção","Integral","Maior parte em particular","Insatisfeito",2.4,529,5.148
"823","Produção","Diurno","Maior parte em particular","Indiferente",1.5,416,3.887
"824","Elétrica","Noturno","Somente em pública","Muito satisfeito",1,221,3.081
"825","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.05,640,5.655
"826","Mecânica","Integral","Maior parte em pública","Insatisfeito",3.07,620,5.299
"827","Civil","Noturno","Somente em pública","Muito satisfeito",1.07,479,4.565
"828","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",1.99,683,6.238
"829","Química","Noturno","Somente em particular","Muito satisfeito",1.19,575,4.627
"830","Química","Diurno","Somente em pública","Muito satisfeito",1.4,632,5.559
"831","Mecânica","Integral","Maior parte em particular","Muito insatisfeito",3.84,743,6.124
"832","Química","Integral","Maior parte em pública","Insatisfeito",2.45,634,5.649
"833","Produção","Integral","Somente em pública","Insatisfeito",1.93,698,5.763
"834","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.24,455,4.507
"835","Química","Diurno","Somente em pública","Indiferente",1.25,547,4.909
"836","Computação","Noturno","Somente em particular","Muito satisfeito",1.05,349,3.911
"837","Química","Diurno","Somente em pública","Indiferente",1.88,740,6.341
"838","Produção","Diurno","Maior parte em particular","Indiferente",2.08,584,5.19
"839","Produção","Diurno","Somente em pública","Satisfeito",1.13,461,4.392
"840","Química","Noturno","Somente em pública","Satisfeito",1.07,260,2.831
"841","Mecânica","Integral","Somente em pública","Indiferente",1.62,484,4.428
"842","Química","Diurno","Somente em pública","Satisfeito",1.02,428,4.23
"843","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,358,3.719
"844","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",2.83,653,5.445
"845","Civil","Noturno","Somente em pública","Satisfeito",1.9,625,5.557
"846","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.22,308,3.064
"847","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.02,178,2.456
"848","Produção","Integral","Maior parte em particular","Insatisfeito",4.05,700,6.375
"849","Química","Integral","Somente em pública","Indiferente",1.59,622,5.228
"850","Produção","Diurno","Somente em pública","Satisfeito",3.35,637,5.249
"851","Produção","Integral","Maior parte em particular","Insatisfeito",2.79,313,3.34
"852","Mecânica",NA,"Maior parte em particular","Muito insatisfeito",3.86,637,5.307
"853","Mecânica","Integral","Somente em pública","Indiferente",1.9,584,5.747
"854","Química","Diurno","Maior parte em particular","Satisfeito",1.14,560,5.215
"855","Mecânica","Integral","Somente em pública","Indiferente",1.84,553,4.913
"856","Química","Integral","Maior parte em pública","Insatisfeito",1.99,800,6.639
"857","Química","Integral","Maior parte em pública","Insatisfeito",2.9,772,6.549
"858","Computação","Diurno","Somente em pública","Satisfeito",1.01,502,4.436
"859","Química","Noturno","Somente em pública","Satisfeito",1.08,481,4.551
"860","Computação","Integral","Somente em pública","Satisfeito",1.66,619,5.174
"861","Mecânica","Integral","Maior parte em particular","Insatisfeito",2.22,659,5.625
"862","Química","Diurno","Somente em pública","Indiferente",1.43,584,5.037
"863","Química","Noturno","Somente em pública","Muito satisfeito",1.07,472,4.562
"864","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.25,377,4.109
"865","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.03,412,3.786
"866","Civil","Diurno","Somente em pública","Muito satisfeito",1.09,478,4.429
"867","Produção","Integral","Maior parte em pública","Insatisfeito",2.88,547,5.191
"868","Mecânica","Integral","Maior parte em pública","Insatisfeito",1.74,749,6.699
"869","Produção","Noturno","Somente em pública","Satisfeito",1.51,331,3.37
"870","Civil","Integral","Maior parte em pública","Insatisfeito",1.93,451,4.488
"871","Computação","Diurno","Maior parte em particular","Insatisfeito",1.36,737,6.324
"872","Civil","Noturno","Somente em pública","Muito satisfeito",1.03,277,3.113
"873","Produção","Diurno","Somente em pública","Satisfeito",1.8,494,4.422
"874","Produção","Integral","Somente em pública","Satisfeito",1.51,514,5.235
"875","Civil","Noturno","Somente em particular","Muito satisfeito",1.01,215,2.925
"876","Civil","Diurno","Somente em pública",NA,1.47,548,4.847
"877","Química","Diurno","Somente em pública","Satisfeito",1.62,532,4.819
"878","Química","Integral","Maior parte em particular","Insatisfeito",1.37,530,4.75
"879","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.01,329,3.58
"880","Computação","Noturno","Somente em pública","Muito satisfeito",1.06,407,3.937
"881","Civil","Diurno","Somente em pública","Satisfeito",1.4,533,4.842
"882","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.02,434,4.1
"883","Computação","Diurno","Somente em pública","Satisfeito",1.18,530,5.251
"884","Mecânica","Integral","Maior parte em particular","Muito insatisfeito",2.59,454,4.196
"885","Química","Noturno","Somente em particular","Muito satisfeito",1.27,500,5.066
"886","Elétrica","Diurno","Somente em pública","Muito satisfeito",1.14,427,4.256
"887","Química","Diurno","Somente em pública","Satisfeito",2.13,704,6.311
"888","Produção","Integral","Maior parte em pública","Insatisfeito",1.77,571,4.889
"889","Química","Noturno","Somente em particular","Muito satisfeito",1.07,508,4.543
"890","Civil","Noturno","Somente em pública","Muito satisfeito",1.04,266,3.741
"891","Produção","Diurno","Somente em pública","Muito satisfeito",1.18,409,3.968
"892","Produção","Noturno","Somente em pública","Satisfeito",1.05,454,4.664
"893","Computação","Noturno","Somente em pública","Muito satisfeito",1.11,433,4.716
"894","Mecânica","Integral","Maior parte em particular","Insatisfeito",5.89,827,6.648
"895","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",4.13,583,5.048
"896","Mecânica","Integral","Maior parte em particular","Insatisfeito",1.96,688,6.054
"897","Computação","Noturno","Somente em pública","Muito satisfeito",1.1,404,3.984
"898","Mecânica","Integral","Maior parte em particular","Insatisfeito",1.65,598,5.274
"899","Química","Diurno","Maior parte em particular","Indiferente",1.33,734,6.219
"900","Química","Diurno","Somente em pública","Satisfeito",1.13,440,4.61
"901","Civil","Diurno","Somente em pública","Satisfeito",1.61,515,4.754
"902","Química","Diurno","Somente em pública","Satisfeito",1.44,313,3.78
"903","Mecânica","Integral","Maior parte em particular","Muito insatisfeito",4.47,826,6.818
"904","Mecânica","Diurno","Maior parte em pública","Insatisfeito",1.19,446,4.034
"905","Química","Noturno","Somente em pública","Muito satisfeito",1.01,509,4.878
"906","Mecânica","Integral","Somente em pública","Insatisfeito",3.44,652,5.685
"907","Mecânica","Integral","Maior parte em pública","Insatisfeito",2.54,679,5.332
"908","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.13,382,4.097
"909","Química","Noturno","Somente em pública","Satisfeito",1.05,328,3.999
"910","Produção","Integral","Maior parte em particular","Insatisfeito",1.49,607,5.684
"911","Mecânica","Integral","Maior parte em particular","Insatisfeito",1.88,545,4.924
"912","Mecânica","Integral","Maior parte em particular","Muito insatisfeito",2.15,584,4.794
"913","Química","Integral","Maior parte em particular","Insatisfeito",3.13,472,4.533
"914","Química","Noturno","Somente em pública","Satisfeito",1.1,365,3.64
"915","Química","Integral","Somente em pública","Indiferente",3.66,500,5.434
"916","Computação","Noturno","Somente em pública","Muito satisfeito",1.36,416,4.112
"917","Civil","Noturno","Somente em particular","Muito satisfeito",1.11,526,5.086
"918","Química","Integral","Somente em pública","Indiferente",2.03,686,5.839
"919","Mecânica","Integral","Maior parte em particular","Insatisfeito",2.77,694,5.62
"920","Produção","Integral","Maior parte em particular","Indiferente",1.95,602,5.748
"921","Produção","Diurno","Somente em pública","Insatisfeito",1.95,607,5.571
"922","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.07,395,3.979
"923","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.01,154,2.69
"924","Civil","Diurno","Somente em pública","Satisfeito",1.08,442,4.577
"925","Computação","Integral","Somente em pública","Satisfeito",3.89,446,4.442
"926","Produção","Integral","Maior parte em pública","Muito insatisfeito",2.25,482,4.876
"927","Computação","Noturno","Somente em pública","Muito satisfeito",1.11,473,4.808
"928","Produção","Integral","Maior parte em particular","Indiferente",1.68,644,5.753
"929","Química","Diurno","Somente em pública","Satisfeito",1.7,575,5.171
"930","Química","Integral","Maior parte em particular","Satisfeito",1.51,443,4.057
"931","Computação","Diurno","Maior parte em particular","Indiferente",1.49,538,4.874
"932","Química","Integral","Maior parte em particular","Insatisfeito",1.82,556,5.096
"933","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.02,454,3.973
"934","Química","Noturno","Somente em pública","Indiferente",1.87,512,4.862
"935","Produção","Integral","Maior parte em pública","Insatisfeito",1.48,622,5.343
"936","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",2.12,470,4.087
"937","Química","Integral","Maior parte em particular","Indiferente",1.49,380,3.803
"938","Química","Integral","Maior parte em particular","Satisfeito",1.48,581,4.925
"939","Química","Noturno","Somente em pública","Indiferente",1.04,385,3.864
"940","Computação","Noturno","Maior parte em particular","Satisfeito",1.12,545,5.453
"941","Civil","Noturno","Somente em pública","Muito satisfeito",1.04,356,3.715
"942","Elétrica","Noturno","Somente em pública",NA,1.04,490,4.33
"943","Elétrica","Diurno","Somente em pública","Muito satisfeito",1.17,397,3.665
"944","Computação","Noturno","Somente em particular","Muito satisfeito",1.01,346,3.458
"945","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",2.5,754,6.295
"946","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",4.36,635,5.643
"947","Produção","Integral","Maior parte em pública","Muito insatisfeito",2.83,587,5.577
"948","Produção","Diurno","Somente em pública","Indiferente",3.28,740,6.536
"949","Produção","Noturno","Somente em pública","Muito satisfeito",1.14,416,3.41
"950","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",2.83,449,4.426
"951","Civil","Noturno","Somente em particular","Muito satisfeito",1.75,277,2.917
"952","Computação","Noturno","Somente em pública","Muito satisfeito",1.02,247,3.2
"953","Produção","Diurno","Somente em pública","Satisfeito",1.13,646,5.888
"954","Produção","Noturno","Somente em pública","Muito satisfeito",1.09,274,3.178
"955","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.01,443,4.069
"956","Mecânica","Integral","Maior parte em particular","Insatisfeito",3.33,616,4.977
"957","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,53,1.528
"958","Química","Diurno","Somente em pública","Satisfeito",1.02,370,3.924
"959","Mecânica","Diurno","Somente em pública","Indiferente",1.41,403,4.41
"960","Civil","Diurno","Maior parte em particular","Indiferente",1.22,482,4.698
"961","Química","Diurno","Somente em pública","Satisfeito",1.19,665,6.014
"962","Mecânica","Integral","Somente em pública","Insatisfeito",2.08,664,5.751
"963","Produção","Integral","Maior parte em particular","Insatisfeito",2.64,661,5.727
"964","Computação","Noturno","Somente em pública","Muito satisfeito",1.03,323,3.253
"965","Produção","Diurno","Somente em pública","Insatisfeito",2.9,673,6.164
"966","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.18,665,5.505
"967","Química","Integral","Maior parte em particular","Indiferente",2.59,383,3.31
"968","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.04,394,3.881
"969","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",NA,602,5.436
"970","Computação","Noturno","Somente em pública","Muito satisfeito",1.11,505,4.599
"971","Mecânica","Diurno","Somente em pública","Muito satisfeito",1.54,482,4.331
"972","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.16,461,4.274
"973","Computação","Noturno","Somente em pública","Muito satisfeito",1.12,502,4.951
"974","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,283,3.558
"975","Produção","Integral","Somente em pública","Insatisfeito",3.47,686,5.71
"976","Química","Noturno","Somente em pública","Satisfeito",1.12,466,4.512
"977","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,47,1.282
"978","Elétrica","Diurno","Somente em pública","Satisfeito",1.72,589,5.736
"979","Química","Diurno","Somente em pública","Muito satisfeito",1.13,550,4.933
"980","Química","Integral","Somente em pública","Insatisfeito",4.36,709,6.051
"981","Produção","Diurno","Somente em pública","Indiferente",1.35,707,5.776
"982","Química","Integral","Maior parte em particular","Indiferente",2.03,610,4.788
"983","Química","Diurno","Somente em pública","Satisfeito",1.58,536,5.114
"984","Computação","Noturno","Somente em pública","Satisfeito",1.21,512,4.548
"985","Produção","Integral","Somente em pública","Indiferente",1.98,755,6.862
"986","Mecânica","Integral","Maior parte em particular","Insatisfeito",2.18,542,4.942
"987","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",8.66,985,7.958
"988","Produção","Diurno","Somente em pública","Indiferente",1.61,490,4.527
"989","Química","Diurno","Somente em pública","Satisfeito",1.41,598,5.272
"990","Química","Diurno","Somente em pública","Satisfeito",1.12,559,5.12
"991","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.03,382,3.941
"992","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",3.71,602,5.225
"993","Química","Noturno","Somente em particular","Muito satisfeito",1.01,280,3.454
"994","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",2.96,545,4.983
"995","Química","Noturno","Somente em pública","Muito satisfeito",1.12,299,3.112
"996","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",2.19,770,6.557
"997","Produção","Diurno","Somente em pública","Indiferente",1.48,371,3.96
"998","Mecânica","Integral","Somente em pública","Insatisfeito",1.98,697,6.205
"999","Mecânica","Integral","Maior parte em particular","Insatisfeito",2.16,680,5.715
"1000","Computação","Diurno","Somente em pública","Satisfeito",2.62,466,4.919
"1001","Civil","Diurno","Somente em pública","Satisfeito",1.82,610,5.148
"1002","Computação","Noturno","Somente em pública","Muito satisfeito",1.01,167,2.69
"1003","Química","Diurno","Somente em pública","Insatisfeito",2.5,689,6.159
"1004","Química","Noturno","Somente em particular","Muito satisfeito",1.07,415,4.069
"1005","Mecânica","Integral","Maior parte em particular","Indiferente",1.39,452,4.284
"1006","Química","Noturno","Somente em pública","Muito satisfeito",1.04,523,4.703
"1007","Computação","Noturno","Somente em particular","Muito satisfeito",1.06,319,3.537
"1008","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,232,3.049
"1009","Civil","Diurno","Maior parte em particular","Satisfeito",1.24,530,4.627
"1010","Civil","Noturno","Somente em particular","Muito satisfeito",1.03,232,2.971
"1011","Química","Noturno","Somente em pública","Muito satisfeito",1.3,506,4.698
"1012","Mecânica","Integral","Somente em pública","Insatisfeito",1.94,652,5.867
"1013","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",7.52,718,6.269
"1014","Química","Integral","Maior parte em particular","Indiferente",2.03,532,4.967
"1015","Civil","Noturno","Somente em particular","Muito satisfeito",1.26,548,5.254
"1016","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.03,311,3.447
